超梦	14	0	4	106	110	90	154	90	130	1	2	3	4
盖欧卡	11	0	4	100	100	90	150	140	90	9	11	12	13
固拉多	5	0	4	100	150	140	100	90	90	2	15	17	18
烈空坐	16	3	4	105	150	90	150	90	95	19	20	4	21
花岩怪	8	17	2	50	92	108	92	108	35	22	23	24	25
帝牙卢卡	9	16	4	100	120	120	150	100	90	26	27	28	29
帕路奇亚	11	16	4	90	120	100	150	120	100	29	30	31	32
莱希拉姆	16	10	4	100	120	100	150	120	90	19	20	33	34
捷克罗姆	16	13	4	100	150	120	120	100	90	19	20	35	36
哲尔尼亚斯	18	0	4	126	131	95	131	98	99	4	37	38	39
伊裴尔塔尔	17	3	4	126	131	95	131	98	99	4	24	40	21
索尔迦雷欧	14	9	4	137	137	107	113	89	97	4	41	42	43
露奈雅拉	14	8	4	137	113	89	137	107	97	22	44	37	43
奈克洛兹玛	14	0	3	97	107	101	127	89	79	1	43	45	46
百战勇者-苍响	18	0	4	92	130	115	80	115	138	4	8	37	42
剑之王-苍响	18	9	5	92	170	115	80	115	148	4	8	37	42
百战勇者-藏玛然特	2	0	4	92	130	115	80	115	138	4	39	42	47
盾之王-藏玛然特	2	9	5	92	130	145	80	145	128	4	39	42	47
无极汰那	4	16	4	140	85	95	145	95	130	31	48	49	19
无极巨化-无极汰那	4	16	6	255	115	250	125	250	130	31	48	49	19
阿尔宙斯	1	0	5	120	120	120	120	120	120	7	50	51	52
皮卡丘	13      0	6	70	110	80	100	100	90	7	8	53	54
